#Subconcepto,,Prevision Inicial 2015,Modificaciones 2015,Previsión definitiva 2015,Derechos reconocidos netos 2015
11202,HIRI ONDASUN HIGIEZINEN GAINEKO ZERGA,47800000,0,47800000,48248212.68
11301,TRAKZIO MEKANIKOZKO IBILGAILUEN GAINEKO ZERGA,16600000,0,16600000,17550500.6
11401,HIRILURREN BALIOAREN GEHIKUNTZAREN GAINEKO ZERGA,6300000,0,6300000,7428187.69
13001,JARDUERA EKONOMIKOEN GAINEKO ZERGA,13800000,0,13800000,13038415.47
28201,"ERAIKUNTZA LANEN, INSTALAZIOEN ETA OBREN GAINEKO ZERGA",6200000,0,6200000,4429779.53
30004,UDAL GORDAILUAN BERTAN BEHERA UTZITAKO IBILGAILUEN SALMENTA,100000,0,100000,0
31001,ZABORRAK ETA HIRI HONDAKIN SOLIDOAK ETXEAN BATZEAREN TASA,21652000,0,21652000,21667389.63
31002,ESTOLDERI ZERBITZUAREN TASA,6850000,0,6850000,6933493.99
31004,DOKUMENTUAK EGITEKO ETA EMATEKO ZERBITZUAREN TASA,12000,0,12000,21571.76
31005,IBILGAILUAK BIDE PUBLIKOTIK EROATEKO ETA UDAL GORDAILUETAN EDUKITZEKO ZERB. TASA,650000,0,650000,616066.26
31006,UDALTZAINGOAREN ZERBITZU BEREZIEN TASA,25000,0,25000,19518.25
31008,UDALEKO SUHILTZAILEEN ETA BABES ZIBILAREN ZERBITZUEN TASA,1000000,0,1000000,808530.3
31009,UR HORNIDURAREN TASA,15300000,0,15300000,15998208.62
31015,ETXEZ ETXEKO LAGUNTZA ZERBITZUAREN ETA BESTE GIZARTE ZERBITZU BATZUEN TASA,700000,0,700000,874629.09
31019,HIRIBARRUKO GARRAIO KOLEKTIBOAREN ZERBITZUAREN TASA,2000,0,2000,0
31021,OSASUN ZERBITZUEN TASA,10000,0,10000,8568.14
31022,ANBULANTZIEN ZERBITZUEN TASA,3000,0,3000,3356.86
31023,LAN OSASUNEKO ZERBITZUEN TASA,3000,0,3000,3584.5
31024,ZERBITZU TEKNIKOAK EMATEAREN TASA,84000,0,84000,78127.75
31101,ESTABLEZIMENDUAK ZABALTZEKO LIZENTZIAREN TASA,330000,0,330000,296527.93
31102,AUTOTAXIEN ETA BESTELAKO AKURA. IBILG. LIZENTZIAK EMATEKO EDO EGITEKO ZER. TASA,45000,0,45000,68340.66
31201,OBRETARAKO ETA HIRIGINTZA LANETARAKO LIZENTZIEN TASA,3900000,0,3900000,3118529.14
32001,TRAKZIO MEKANIKOZKO IBILGAILUAK APARKATZEAREN TASA,920000,0,920000,1030076.18
32004,ZERBITZU OROKORREN BESTE TASA BATZUK,300000,0,300000,1058092.56
32103,"HESI, ALDAMIO ETA OBRETAKO BESTE OSAGARRI BATZUEN TASA",550000,0,550000,696234.01
32104,"MAHAI, AULKI ETA MAHAITXOEN TASA",600000,0,600000,1328929.07
32105,FERIA ETA JAIETAKO TASA,730000,0,730000,951224.29
32107,JABETZA PUBLIKOKO LURRETAN LAGINKETAK ETA ERRETENAK ZABALTZEAREN TASA,25000,0,25000,28960.09
32109,HORNIDURA ZERBITZUAK USTIATZEN DITUZTEN ENPRESEK BIDE PUBLIKOA OKUPATZEAREN TASA,2900000,0,2900000,3284128.01
32110,"ERAKUSMAHAIAK, BEIRA-ARASAK, PORTADAK ETA ABAR JARTZEAREN TASA",80000,0,80000,72959.65
32112,"UDALAREN LUR, HEGAL ETA LURPEAREN APROBETXAMENDU BEREZIEN TASA",220000,0,220000,257463.86
32201,IBILGAILUAK ESPALOIETATIK SARTZEAREN ETA BIDE PUBL. APARKALEKUA ERRESER. TASA,660000,0,660000,755461.98
34007,"LIBURUAK, ARGITALPEN ETA BIDEOEN SALMENTAGATIKO PREZIO PUBLIKOA",4000,0,4000,521.4
34102,UDAL JARDUERAK EDOTA ZERBITZUAK EMATEAGATIKO PREZIO PUBLIKOA,170000,0,170000,213790.98
36101,SUAK ITZALTZEKO ZERBITZUAREN KONTRIBUZIO BEREZIAK,1640000,0,1640000,1855906.92
38001,ITXITAKO AURREKONTUEN ITZULKETAK,122000,62137.74,184137.74,973206.84
39101,ISUNAK TRAFIKOAREN LEGEAREN AURKAKO ARAU HAUSTEENGATIK,8300000,0,8300000,5427059.63
39102,ISUNAK TRAFIKO ETA APARKAMEN. (TAO) ORDENANTZAREN AURKAKO ARAU-HAUSTEENGATIK,2100000,0,2100000,1764270.41
