#Orgánica,,Programa,,Subconcepto,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Crédito inicial 2015,Modificaciones 2015,Credito definitivo 2015,Obligado 2015
110,ALKATETZA ETA KONTRATAZIOA,1533,HIRIKO ESPAZIOEN URBANIZAZIOA ETA HORIETAKO AZPIEGITURAK,73503,KAPITAL TRANSFERENTZIAK BILBAO RIA 2000 SA-RI,110,1,7,1982900,0,1982900,1196016.24
110,ALKATETZA ETA KONTRATAZIOA,3271,HERRITARREN BIZIKIDETZA SUSTATZEA,22753,HAURTZAROENTZAKO ETA GAZTEENTZAKO ZERBITZUAK,110,3,2,5000,0,5000,0
110,ALKATETZA ETA KONTRATAZIOA,3271,HERRITARREN BIZIKIDETZA SUSTATZEA,47101,TRANSFERENTZIA ARRUNTA DEUSTUKO UNIBERTSITATEARI,110,3,4,0,18000,18000,18000
110,ALKATETZA ETA KONTRATAZIOA,3271,HERRITARREN BIZIKIDETZA SUSTATZEA,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,110,3,4,0,0,0,0
110,ALKATETZA ETA KONTRATAZIOA,3271,HERRITARREN BIZIKIDETZA SUSTATZEA,60901,ERABILERA OROKORRERAKO BESTE INBERTSIO BATZUK,110,3,6,40000,-11795,28205,0
110,ALKATETZA ETA KONTRATAZIOA,3331,MUSEOAK ETA ARTE PLASTIKOAK,43608,TRANSFERENTZIA ARRUNTAK ITSAS MUSEORA,110,3,4,170500,0,170500,170500
110,ALKATETZA ETA KONTRATAZIOA,3341,ARTE ESZENIKOAK,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,110,3,4,60000,0,60000,60000
110,ALKATETZA ETA KONTRATAZIOA,3371,AISIALDIRAKO INSTALAZIOAK,43304,TRANSFERENTZIA ARRUNTAK ALONDEGIKO ENTITATE KUDEATZAILERA,110,3,4,6007000,99524,6106524,6073463.1
110,ALKATETZA ETA KONTRATAZIOA,3371,AISIALDIRAKO INSTALAZIOAK,73304,KAPITAL TRANSFERENTZIAK ALONDEGIKO ENTITATE KUDEATZAILERI,110,3,7,80000,0,80000,79627.7
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,10001,GOI KARGUEN OINARRIZKO SOLDATAK ETA BESTELAKO LANSARIAK,110,9,1,98436,0,98436,149578.83
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,11001,KABINETEETAKO ALDI BAT. PERTSONALAREN OINARRIZKO SOLDATAK ETA BESTE LANSARIAK,110,9,1,475357,0,475357,313497.81
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,12001,FUNTZIONARIOEN OINARRIZKO SOLDATAK,110,9,1,243027,0,243027,154152.3
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,12101,LANTOKI OSAGARRIA,110,9,1,123138,0,123138,114773.28
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,12102,OSAGARRI BEREZIA,110,9,1,298353,0,298353,263615.41
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,12103,PRODUKTIBITATE OSAGARRIA,110,9,1,25847,0,25847,26561.95
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,12104,HABOROKINAK,110,9,1,21417,0,21417,100774.16
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,12105,PRESTAZIOAK ETA OSAGARRIAK ALDI BATERAKO EZINTASUNAK,110,9,1,0,0,0,12540.89
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,16001,GIZARTE SEGURANTZA,110,9,1,264586,0,264586,185841.7
