#Orgánica,,Programa,,Subconcepto,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Crédito inicial 2016,Modificaciones 2016,Credito definitivo 2016,Obligado 2016
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,22723,ZERBITZUAK:ARGIAK ETA SOINUAK,110,9,2,0,0,0,17702.3
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,22799,KANPOKO ENPRESEK EGINDAKO BESTELAKO LANAK,110,9,2,1000,0,1000,0
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,23001,"BIDAI SARIAK, PERTSONALAREN GARRAIOA ETA LOKOMOZIOA",110,9,2,12000,8000,20000,11000
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,23999,BESTELAKO KALTE-ORDAINAK,110,9,2,1000,0,1000,3000
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,62599,ZERBITZU PUBLIKORAKO BESTE TRESNA BATZUK,110,9,6,0,0,0,3156.15
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,64301,"IKERKETAK, AZTERLANAK ETA PROIEKTUAK",110,9,6,20000,0,20000,19162.6
110,ALKATETZA ETA KONTRATAZIOA,9121,UDAL GOBERNUARI LAGUNTZEA,64401,APLIKAZIO INFORMATIKOAK,110,9,6,40000,0,40000,0
110,ALKATETZA ETA KONTRATAZIOA,9122,TALDE POLITIKOAK ETA HAUTETSIAK,10001,GOI KARGUEN OINARRIZKO SOLDATAK ETA BESTELAKO LANSARIAK,110,9,1,843037,0,843037,687014.38
110,ALKATETZA ETA KONTRATAZIOA,9122,TALDE POLITIKOAK ETA HAUTETSIAK,11001,KABINETEETAKO ALDI BAT. PERTSONALAREN OINARRIZKO SOLDATAK ETA BESTE LANSARIAK,110,9,1,443751,0,443751,411102.57
110,ALKATETZA ETA KONTRATAZIOA,9122,TALDE POLITIKOAK ETA HAUTETSIAK,16001,GIZARTE SEGURANTZA,110,9,1,310705,0,310705,280125.25
110,ALKATETZA ETA KONTRATAZIOA,9122,TALDE POLITIKOAK ETA HAUTETSIAK,22002,"PRENTSA, ALDIZKARIAK, LIBURUAK ETA ARGITALPENAK",110,9,2,20500,0,20500,18788.46
110,ALKATETZA ETA KONTRATAZIOA,9122,TALDE POLITIKOAK ETA HAUTETSIAK,22104,ERREGAIEN HORNIDURA,110,9,2,0,0,0,414.19
