#Subconcepto,,Prevision Inicial 2017,Modificaciones 2017,Previsión definitiva 2017,Derechos reconocidos netos 2017
53202,BIOARTIGASEN MOZKINETAKO DIBIDENDUAK ETA PARTE HARTZEAK,100000,0,100000,0
53209,BESTEEN MOZKINETAKO DIBIDENDUAK  ETA PARTE HARTZEAK,0,0,0,6.95
54001,HIRI FINKEN ERRENTAMENDUA,70000,0,70000,8657.8
55001,ADMINISTRAZIO EMAKIDAK MERKATARITZAKO ETA INDUSTRI  AKO INSTALAZIOETARAKO,100000,0,100000,60044.68
55002,KIOSKOEN ADMINISTRAZIO EMAKIDA,120000,0,120000,107950.19
55003,ADMINISTRAZIO EMAKIDA SOLLANOKO ZENTRALA USTIATZEKO,100000,0,100000,0
55010,APARKALEKUEN KANONAK,1180000,0,1180000,0
55999,BESTE SARRERA BATZUK ADMINISTRAZIO EMAKIDA ETA APROBETXAMENDUENGATIK,1900000,0,1900000,387438.97
56001,FINANTZA ETXEETAKO GORDAILUEN INTERESAK,100000,0,100000,6663.97
59999,ONDAREZKO BESTE SARRERA BATZUK,0,0,0,462
65109,KONPENTSAZIO URBANISTIKOAK,2500000,0,2500000,206431.3
68001,ITXITAKO EKITALDEKO ITZULTZEAK. KAPITAL OPERAZIOAK,0,0,0,122.67
71002,"EAE-KO HEZKUNTZA, UNIBERTSITATE ETA IKERKETA",780000,0,780000,477347.83
71004,EAE-KO KULTURA,100000,0,100000,122209.34
71012,EAE-KO GARAPEN EKONOMIKOA ETA KONPETITIBITATEA,0,0,0,0
71201,ENERGIAREN EUSKAL ERAKUNDEA,110000,0,110000,233515.67
72008,BFA. INGURUGIRO ETA LURRALDE EKINTZA,0,0,0,0
72101,BILBO HANDIKO UREN PARTZUERGOA,286000,0,286000,0
79301,EUROPAKO BATASUNA. GARRAIO ETA ENERGIA,0,0,0,6300
79302,EUROPAKO BATASUNA. HIRI HONDAKIN SOLIDOEN TRATAMENDUA,0,0,0,0
79350,LAGUNTZAILEEN BIDEZ JASOTAKO FUNTS KOMUNITARIOAK,0,59806.5,59806.5,27000
83301,PERTSONALAREN AURRERAKINEN ITZULKETA,400000,0,400000,61757.95
93301,SEKTORE PUBLIKOTIK KANPOKO BARRUKO EPE LUZ. MAILEGUAK,35000000,0,35000000,0
