#Orgánica,,Programa,,Subconcepto,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Presupuesto inicial (Proyecto Ppto.)
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,22799,KANPOKO ENPRESEK EGINDAKO BESTELAKO LANAK,110,9,2,1000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,23001,"BIDAI SARIAK, PERTSONALAREN GARRAIOA ETA LOKOMOZIOA",110,9,2,10000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,23999,BESTELAKO KALTE-ORDAINAK,110,9,2,1000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,64301,"IKERKETAK, AZTERLANAK ETA PROIEKTUAK",110,9,6,20000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9121,UDAL GOBERNUARI LAGUNTZEA,64401,APLIKAZIO INFORMATIKOAK,110,9,6,340000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9122,TALDE POLITIKOAK ETA HAUTETSIAK,10001,GOI KARGUEN OINARRIZKO SOLDATAK ETA BESTELAKO LANSARIAK,110,9,1,851001
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9122,TALDE POLITIKOAK ETA HAUTETSIAK,11001,KABINETEETAKO ALDI BAT. PERTSONALAREN OINARRIZKO SOLDATAK ETA BESTE LANSARIAK,110,9,1,480966
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9122,TALDE POLITIKOAK ETA HAUTETSIAK,16001,GIZARTE SEGURANTZA,110,9,1,330877
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9122,TALDE POLITIKOAK ETA HAUTETSIAK,22002,"PRENTSA, ALDIZKARIAK, LIBURUAK ETA ARGITALPENAK",110,9,2,20500
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9122,TALDE POLITIKOAK ETA HAUTETSIAK,22104,ERREGAIEN HORNIDURA,110,9,2,900
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9122,TALDE POLITIKOAK ETA HAUTETSIAK,22199,BESTELAKO HORNIDURAK,110,9,2,1000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9122,TALDE POLITIKOAK ETA HAUTETSIAK,22602,PROTOKOLO ETA ORDEZKARITZAKO ARRETA,110,9,2,40000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9122,TALDE POLITIKOAK ETA HAUTETSIAK,22699,BESTELAKO GASTUAK,110,9,2,3000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9122,TALDE POLITIKOAK ETA HAUTETSIAK,22717,BIDAI AGENTZIETAKO ZERBITZUAK,110,9,2,18000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9122,TALDE POLITIKOAK ETA HAUTETSIAK,22754,PRESTAKUNTZA ETA IKASKETA ZERBITZUAK,110,9,2,3000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9122,TALDE POLITIKOAK ETA HAUTETSIAK,23101,"BIDAI SARIAK, GOI KARGUDUNEN GARRAIOA ETA LOKOMOZIOA",110,9,2,56000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9122,TALDE POLITIKOAK ETA HAUTETSIAK,48101,TRANSFERENTZIA ARRUNTAK UDALEKO TALDE POLITIKOEI,110,9,4,527100
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,11001,KABINETEETAKO ALDI BAT. PERTSONALAREN OINARRIZKO SOLDATAK ETA BESTE LANSARIAK,110,9,1,90064
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,12001,FUNTZIONARIOEN OINARRIZKO SOLDATAK,110,9,1,986582
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,12101,LANTOKI OSAGARRIA,110,9,1,419044
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,12102,OSAGARRI BEREZIA,110,9,1,1286436
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,12103,PRODUKTIBITATE OSAGARRIA,110,9,1,156131
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,12104,HABOROKINAK,110,9,1,8700
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,16001,GIZARTE SEGURANTZA,110,9,1,633553
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,16004,ELKARKIDETZAKO KUOTAK,110,9,1,46892
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,16005,LAGUNTZA MEDIKO-FARMAZEUTIKOA,110,9,1,2265000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,16201,FUNTZIONARIOEN ETA LAN-KONTRATUKOAK EZ DIRENEN PRESTAKUNTZA,110,9,1,300000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,20101,ERAIKINEN ETA BESTELAKO ERAIKUNTZEN ERRENTAMENDUA,110,9,2,5700
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,21501,INFORMAZIO PROZESUETARAKO EKIPAMENDUEN KONTSERBAZIOA,110,9,2,1000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,21901,BESTELAKO IBILGETU MATERIALAREN IRAUNARAZPENA,110,9,2,14000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,22108,FARMAZIAKO PRODUKTUEN ETA HEMODERIBATUEN HORNIDURA,110,9,2,3500
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,22112,SANITATE MATERIALAREN HORNIDURA,110,9,2,8000
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9202,GIZA BALIABIDEEN KUDEAKETA,22199,BESTELAKO HORNIDURAK,110,9,2,5000
